model,augmentation,parameters,aug_strength,test_avg_f1,test_avg_prec,test_avg_rc,test_f1_class1,test_prec_class1,test_rc_class1,test_pr_auc_class1,test_f1_class2,test_prec_class2,test_rc_class2,test_pr_auc_class2,test_f1_class3,test_prec_class3,test_rc_class3,test_pr_auc_class3,val_avg_f1,val_avg_prec,val_avg_rc,val_f1_class1,val_prec_class1,val_rc_class1,val_f1_class2,val_prec_class2,val_rc_class2,val_f1_class3,val_prec_class3,val_rc_class3
simclr,BlW,fs=100_C=0.1,1,76.86,87.23,71.66,88.72,87.73,89.73,93.76,73.81,73.95,73.67,74.51,68.07,100.0,51.59,58.93,53.71,81.43,54.38,81.05,69.68,96.87,74.5,90.31,63.4,5.57,84.31,2.88
simclr,BlW,fs=100_C=0.7,2,75.38,85.66,71.25,86.59,90.13,83.32,93.21,73.31,67.03,80.88,74.82,66.23,99.82,49.56,64.79,53.0,61.28,54.19,81.71,71.84,94.72,75.72,86.99,67.04,1.56,25.0,0.8
simclr,BlW,fs=100_C=1.0,3,76.16,86.27,71.81,88.12,90.15,86.18,95.03,75.23,70.61,80.48,76.34,65.13,98.04,48.76,58.72,53.46,74.79,54.11,80.86,70.29,95.17,74.12,87.4,64.34,5.4,66.67,2.81
simclr,ChR,"magnitude_range=[0.33, 1.0]",1,82.85,88.35,78.95,89.48,88.49,90.49,95.64,75.85,76.69,75.03,77.96,83.22,99.88,71.33,73.21,54.91,83.77,55.6,82.92,73.01,95.93,77.12,88.29,68.46,4.7,90.0,2.41
simclr,ChR,"magnitude_range=[0.5, 2.0]",2,80.26,88.19,75.53,89.63,88.68,90.61,95.52,75.81,76.2,75.44,77.02,75.33,99.71,60.53,73.28,54.54,66.59,54.88,81.42,70.73,95.92,74.66,88.51,64.55,7.53,40.52,4.15
simclr,ChR,"magnitude_range=[0.33, 3.0]",3,78.65,85.91,75.51,86.36,91.81,81.53,95.53,74.37,66.38,84.56,77.33,75.22,99.56,60.44,68.53,58.76,70.24,58.32,84.67,77.49,93.31,80.53,86.46,75.35,11.1,46.77,6.3
simclr,DTW,w=1_r=10,1,72.51,84.61,69.19,84.17,91.9,77.63,94.14,71.84,61.94,85.52,74.6,61.52,100.0,44.42,56.64,53.11,69.95,54.46,82.32,72.36,95.46,76.21,87.49,67.51,0.8,50.0,0.4
simclr,DTW,w=3_r=5,2,72.96,86.66,67.85,88.13,87.85,88.42,94.35,73.6,72.14,75.13,74.27,57.14,100.0,40.0,54.11,52.55,77.66,53.49,80.41,68.93,96.46,72.96,89.06,61.79,4.29,75.0,2.21
simclr,DTW,w=3_r=10,3,71.84,83.91,69.15,81.9,92.91,73.22,94.55,70.58,58.82,88.22,74.92,63.03,100.0,46.02,52.15,54.31,76.91,54.68,81.21,70.8,95.21,74.71,87.56,65.15,7.01,72.37,3.68
simclr,EM,var=0.01,1,73.56,87.81,68.37,89.43,88.62,90.27,95.57,75.69,75.05,76.33,75.74,55.56,99.77,38.5,63.23,52.78,80.74,53.71,80.82,69.62,96.32,73.34,88.37,62.68,4.18,84.21,2.14
simclr,EM,var=0.5,2,78.49,87.49,73.94,88.98,89.91,88.08,95.41,75.85,72.89,79.06,77.09,70.63,99.68,54.69,57.15,53.05,69.05,54.0,81.24,70.23,96.36,74.06,88.54,63.65,3.86,48.39,2.01
