model,augmentation,parameters,aug_strength,test_avg_f1,test_avg_prec,test_avg_rc,test_f1_class1,test_prec_class1,test_rc_class1,test_pr_auc_class1,test_f1_class2,test_prec_class2,test_rc_class2,test_pr_auc_class2,test_f1_class3,test_prec_class3,test_rc_class3,test_pr_auc_class3,val_avg_f1,val_avg_prec,val_avg_rc,val_f1_class1,val_prec_class1,val_rc_class1,val_f1_class2,val_prec_class2,val_rc_class2,val_f1_class3,val_prec_class3,val_rc_class3
simclr,BlW,fs=100_C=0.1,1,69.9,86.69,63.39,87.45,81.13,94.84,93.14,65.74,80.05,55.76,74.07,56.51,98.89,39.56,63.08,45.95,57.65,48.23,75.55,61.53,97.83,61.25,90.35,46.33,1.05,21.05,0.54
simclr,BlW,fs=100_C=0.7,2,73.1,86.7,66.79,88.2,82.64,94.57,94.48,67.54,79.31,58.82,74.37,63.55,98.15,46.99,59.53,47.6,64.14,49.25,76.04,62.18,97.85,62.33,90.45,47.55,4.43,39.77,2.34
simclr,BlW,fs=100_C=1.0,3,74.23,86.14,68.14,87.61,81.97,94.07,94.03,65.41,77.58,56.54,74.06,69.68,98.86,53.81,60.17,46.23,58.87,48.36,75.71,61.88,97.51,61.16,88.8,46.65,1.81,25.93,0.94
simclr,ChR,"magnitude_range=[0.33, 1.0]",1,80.0,86.39,75.58,88.03,84.38,92.01,93.87,69.55,76.5,63.76,72.37,82.43,98.28,70.97,73.76,45.97,61.14,47.96,74.98,60.6,98.29,58.31,90.08,43.11,4.61,32.74,2.48
simclr,ChR,"magnitude_range=[0.5, 2.0]",2,78.09,87.64,72.51,88.17,82.52,94.66,93.69,67.44,80.55,58.0,73.1,78.65,99.86,64.87,75.05,46.04,68.18,48.05,75.0,60.69,98.13,59.13,90.4,43.94,4.0,53.45,2.08
simclr,ChR,"magnitude_range=[0.33, 3.0]",3,79.47,85.93,75.23,88.01,87.0,89.04,94.55,72.91,73.6,72.23,72.8,77.49,97.2,64.42,75.63,45.53,67.58,47.59,74.54,60.14,98.02,57.55,89.59,42.39,4.49,53.03,2.34
simclr,DTW,w=1_r=10,1,71.71,86.39,65.23,87.03,79.84,95.64,92.7,61.89,80.38,50.32,73.02,66.2,98.94,49.73,60.09,46.15,61.57,48.24,75.47,61.39,97.93,60.15,89.48,45.3,2.82,33.85,1.47
simclr,DTW,w=3_r=5,2,72.01,85.04,65.95,87.89,82.22,94.4,93.96,67.08,79.29,58.13,74.59,61.06,93.6,45.31,57.23,47.09,63.91,49.0,76.11,62.38,97.59,62.68,89.76,48.15,2.47,39.58,1.27
simclr,DTW,w=3_r=10,3,65.87,85.87,59.69,86.42,80.05,93.89,91.12,63.69,77.58,54.02,71.7,47.5,100.0,31.15,65.27,45.28,61.1,47.53,74.79,60.87,96.96,59.11,87.56,44.61,1.95,34.88,1.0
simclr,EM,var=0.01,1,72.82,87.05,66.35,87.93,81.89,94.93,94.03,66.28,79.8,56.69,73.6,64.23,99.44,47.43,61.1,45.59,61.93,47.87,75.18,61.06,97.79,59.88,89.6,44.97,1.7,35.14,0.87
simclr,EM,var=0.5,2,71.99,83.87,66.16,87.56,81.97,93.97,92.67,66.25,78.23,57.44,72.17,62.15,91.41,47.08,51.19,46.38,61.26,48.3,75.34,61.46,97.3,60.37,88.56,45.8,3.43,33.75,1.81
simclr,EM,var=1.0,3,71.14,85.3,64.83,87.08,80.99,94.17,93.42,63.24,76.59,53.85,71.09,63.1,98.31,46.46,64.87,45.38,56.84,47.62,74.97,61.0,97.23,59.14,87.91,44.56,2.04,21.62,1.07
simclr,GN,var=0.01,1,71.57,87.0,64.97,87.49,80.77,95.44,93.62,64.35,80.61,53.55,73.3,62.87,99.62,45.93,67.06,46.97,64.88,48.86,75.94,62.09,97.74,61.88,89.69,47.24,3.1,42.86,1.61
simclr,GN,var=0.1,2,72.82,86.3,66.64,87.75,83.07,92.99,92.57,68.23,76.98,61.27,73.41,62.47,98.85,45.66,64.02,47.7,61.83,49.12,75.73,61.91,97.49,60.81,88.75,46.25,6.55,34.84,3.62
simclr,GN,var=1.0,3,71.62,86.0,65.22,87.54,81.08,95.12,93.21,63.64,78.57,53.47,69.57,63.67,98.34,47.08,57.77,45.59,60.56,47.84,75.1,60.75,98.35,58.99,90.5,43.75,2.69,30.43,1.41
simclr,Neg,True,2,65.89,85.97,60.02,87.58,81.49,94.66,94.28,66.68,79.48,57.43,76.73,43.41,96.93,27.96,53.96,49.35,72.75,50.48,76.74,63.05,98.01,64.7,91.78,49.95,6.6,63.41,3.48
simclr,TO,"crop_ratio_range=[0.1, 0.2]",1,76.99,85.26,72.14,86.81,85.7,87.95,94.94,70.01,70.67,69.36,71.57,74.14,99.4,59.12,75.44,47.9,65.58,49.44,76.51,63.9,95.31,63.96,84.78,51.35,3.24,48.08,1.67
simclr,TO,"crop_ratio_range=[0.0, 0.5]",2,76.02,86.74,70.12,87.92,82.76,93.75,95.78,66.74,77.46,58.63,71.17,73.39,100.0,57.96,77.62,48.52,59.42,50.23,77.59,64.49,97.36,65.68,88.76,52.13,2.3,25.0,1.21
simclr,TO,"crop_ratio_range=[0.4, 0.5]",3,73.22,85.22,67.15,86.78,81.1,93.32,95.29,62.55,74.56,53.87,68.47,70.34,100.0,54.25,77.64,47.39,69.25,49.05,76.04,62.68,96.65,62.36,87.07,48.58,3.76,58.0,1.94
byol,BlW,fs=100_C=0.1,1,73.3,84.35,68.63,85.54,77.14,95.98,92.71,52.6,78.11,39.65,66.22,81.77,97.78,70.27,70.14,43.66,60.13,46.24,73.66,58.88,98.37,53.52,88.54,38.35,3.79,32.97,2.01
byol,BlW,fs=100_C=0.7,2,71.22,82.89,65.72,85.6,78.17,94.6,91.51,55.31,74.55,43.97,64.17,72.75,95.94,58.58,61.54,43.26,49.15,45.89,73.53,59.59,95.99,55.67,85.21,41.33,0.59,2.66,0.33
byol,BlW,fs=100_C=1.0,3,69.49,83.07,63.45,85.68,78.65,94.07,92.09,57.8,74.86,47.07,65.68,64.99,95.7,49.2,68.54,43.68,52.57,46.25,73.75,59.55,96.85,55.68,86.54,41.04,1.62,11.61,0.87
byol,ChR,"magnitude_range=[0.33, 1.0]",1,74.06,83.91,69.52,85.79,77.94,95.4,92.56,55.03,77.65,42.62,67.81,81.37,96.14,70.53,70.97,44.19,54.05,46.43,73.43,58.9,97.49,53.08,87.65,38.06,6.05,15.6,3.75
byol,ChR,"magnitude_range=[0.5, 2.0]",2,73.15,84.25,67.66,86.19,78.94,94.9,93.47,57.61,76.47,46.21,66.2,75.65,97.35,61.86,70.07,43.22,55.26,46.09,73.92,59.36,97.95,54.58,87.26,39.71,1.17,19.15,0.6
byol,ChR,"magnitude_range=[0.33, 3.0]",3,76.11,85.26,71.12,86.71,79.96,94.7,93.12,60.59,77.95,49.56,69.64,81.02,97.87,69.12,73.0,45.06,57.49,47.55,75.24,60.92,98.35,58.51,89.09,43.56,1.43,22.45,0.74
byol,DTW,w=1_r=10,1,69.19,80.68,64.17,85.28,77.32,95.08,92.66,52.52,74.3,40.61,63.66,69.78,90.42,56.81,61.08,43.84,51.61,46.37,74.18,59.69,97.93,54.12,87.93,39.09,3.22,7.21,2.08
byol,DTW,w=3_r=5,2,67.75,82.43,62.1,84.87,76.26,95.68,89.99,49.63,74.38,37.24,62.81,68.76,96.63,53.36,57.76,41.16,48.36,43.99,71.58,57.38,95.11,50.73,85.61,36.05,1.16,2.09,0.8
byol,DTW,w=3_r=10,3,69.12,83.96,63.01,85.79,77.83,95.57,92.11,54.55,75.92,42.57,64.97,67.02,98.12,50.88,69.33,43.47,51.82,45.94,73.26,58.97,96.69,54.09,86.7,39.31,3.05,9.78,1.81
byol,EM,var=0.01,1,69.72,83.54,64.15,85.76,77.17,96.49,92.53,52.2,77.63,39.32,64.26,71.19,95.81,56.64,68.19,43.29,53.63,45.97,73.5,59.02,97.38,54.37,87.34,39.47,2.0,14.55,1.07
byol,EM,var=0.5,2,72.6,84.77,66.89,86.22,78.59,95.5,93.27,57.0,77.72,45.0,66.03,74.56,97.98,60.18,67.14,45.1,53.64,47.28,74.67,60.62,97.19,57.45,87.18,42.84,3.18,13.11,1.81
byol,EM,var=1.0,3,68.69,82.8,62.69,85.68,78.2,94.76,92.36,54.97,73.65,43.85,64.25,65.42,96.55,49.47,59.77,43.75,52.1,46.39,73.97,59.76,97.06,56.27,87.02,41.58,1.01,9.52,0.54
byol,GN,var=0.01,1,72.03,85.14,65.87,86.18,79.18,94.55,92.73,59.79,77.38,48.71,69.2,70.13,98.87,54.34,69.96,44.84,61.33,47.25,74.67,60.28,98.07,57.52,89.08,42.48,2.33,34.62,1.21
byol,GN,var=0.1,2,71.74,85.01,65.76,86.56,78.85,95.94,94.41,57.82,78.8,45.67,67.12,70.83,97.37,55.66,60.33,43.82,52.8,46.42,73.93,59.45,97.74,55.59,88.88,40.45,1.94,10.06,1.07
byol,GN,var=1.0,3,74.84,84.9,69.89,86.48,78.94,95.6,93.46,58.06,79.13,45.85,67.28,79.98,96.62,68.23,69.36,43.97,54.79,46.43,73.76,59.25,97.67,54.89,88.35,39.81,3.26,16.77,1.81
byol,Neg,True,2,70.27,83.14,64.68,85.51,77.48,95.41,91.01,54.08,76.56,41.8,63.88,71.21,95.39,56.81,66.66,42.81,50.94,45.3,72.41,58.08,96.14,51.65,86.83,36.76,4.36,7.91,3.01
byol,TO,"crop_ratio_range=[0.1, 0.2]",1,71.73,85.76,65.43,86.38,78.9,95.42,91.98,58.8,78.55,46.99,67.86,70.0,99.84,53.89,69.98,42.5,49.58,45.03,72.59,58.5,95.63,53.28,87.66,38.27,1.65,2.59,1.21
